,2015-01-01 00:00:00,2015-01-02 00:00:00,2015-01-03 00:00:00,2015-01-04 00:00:00,2015-01-05 00:00:00,2015-01-06 00:00:00,2015-01-07 00:00:00,2015-01-08 00:00:00,2015-01-09 00:00:00,2015-01-10 00:00:00,2015-01-11 00:00:00,2015-01-12 00:00:00,2015-01-13 00:00:00,2015-01-14 00:00:00,2015-01-15 00:00:00,2015-01-16 00:00:00,2015-01-17 00:00:00,2015-01-18 00:00:00,2015-01-19 00:00:00,2015-01-20 00:00:00,2015-01-21 00:00:00,2015-01-22 00:00:00,2015-01-23 00:00:00,2015-01-24 00:00:00,2015-01-25 00:00:00,2015-01-26 00:00:00,2015-04-01 00:00:00,2015-04-02 00:00:00,2015-04-03 00:00:00,2015-04-04 00:00:00,2015-04-05 00:00:00,2015-04-06 00:00:00,2015-04-07 00:00:00,2015-04-08 00:00:00,2015-04-09 00:00:00,2015-04-10 00:00:00,2015-04-11 00:00:00,2015-04-12 00:00:00,2015-04-13 00:00:00,2015-04-14 00:00:00,2015-04-15 00:00:00,2015-04-16 00:00:00,2015-04-17 00:00:00,2015-04-18 00:00:00,2015-04-19 00:00:00,2015-04-20 00:00:00,2015-04-21 00:00:00,2015-04-22 00:00:00,2015-04-23 00:00:00,2015-04-24 00:00:00,2015-04-25 00:00:00,2015-04-26 00:00:00,2015-04-27 00:00:00,2015-07-01 00:00:00,2015-07-02 00:00:00,2015-07-03 00:00:00,2015-07-04 00:00:00,2015-07-05 00:00:00,2015-07-06 00:00:00,2015-07-07 00:00:00,2015-07-08 00:00:00,2015-07-09 00:00:00,2015-07-10 00:00:00,2015-07-11 00:00:00,2015-07-12 00:00:00,2015-07-13 00:00:00,2015-07-14 00:00:00,2015-07-15 00:00:00,2015-07-16 00:00:00,2015-07-17 00:00:00,2015-07-18 00:00:00,2015-07-19 00:00:00,2015-07-20 00:00:00,2015-07-21 00:00:00,2015-07-22 00:00:00,2015-07-23 00:00:00,2015-07-24 00:00:00,total
360610101001,403953.0,401478.0,397650.0,403392.0,395307.0,400191.0,395274.0,404943.0,403623.0,399498.0,405570.0,397551.0,406164.0,409464.0,410322.0,404646.0,407517.0,407220.0,404316.0,404250.0,403887.0,399927.0,411015.0,403194.0,407649.0,209880.0,399894.0,394185.0,397353.0,400026.0,401148.0,408078.0,400719.0,401907.0,396660.0,402732.0,400191.0,399465.0,402006.0,401379.0,396957.0,400290.0,404613.0,405702.0,403227.0,403359.0,394218.0,395010.0,397683.0,397188.0,395505.0,388080.0,51051.0,431970.0,389796.0,467841.0,587169.0,428769.0,436161.0,579381.0,489522.0,507309.0,409068.0,447942.0,401346.0,373527.0,534963.0,462759.0,388674.0,417978.0,404580.0,447051.0,602283.0,463320.0,411906.0,402831.0,49566.0,31272219.0
360810331001,245850.0,238625.0,239625.0,245300.0,246075.0,244050.0,245800.0,240550.0,239850.0,241150.0,243150.0,244825.0,244975.0,243100.0,242500.0,245050.0,242675.0,240550.0,241100.0,235250.0,240200.0,245100.0,244700.0,244950.0,247325.0,125050.0,283750.0,286250.0,285900.0,281300.0,278600.0,288900.0,289575.0,292425.0,294650.0,292150.0,285775.0,285225.0,281925.0,286325.0,284925.0,283525.0,284425.0,285925.0,285650.0,281825.0,283875.0,286550.0,282125.0,288125.0,288325.0,278325.0,39925.0,231725.0,287875.0,247600.0,358950.0,319950.0,176100.0,342450.0,411800.0,358600.0,334325.0,293650.0,343250.0,218725.0,293400.0,379150.0,338050.0,312975.0,226475.0,218400.0,449700.0,295125.0,289650.0,350550.0,36825.0,20778950.0
360810716001,226000.0,222700.0,226600.0,233525.0,231025.0,231250.0,230475.0,229800.0,229175.0,230075.0,227200.0,225450.0,227825.0,229825.0,233000.0,233875.0,227000.0,226300.0,223175.0,222375.0,222450.0,228850.0,223675.0,230700.0,236450.0,119525.0,248575.0,248575.0,242925.0,240350.0,248050.0,249675.0,246600.0,246700.0,254325.0,247300.0,248075.0,245800.0,246150.0,251700.0,249175.0,250775.0,248475.0,246950.0,250575.0,246250.0,253125.0,251800.0,248525.0,245975.0,247525.0,243000.0,31300.0,248225.0,273950.0,324400.0,304575.0,268875.0,245900.0,335350.0,349725.0,287200.0,292525.0,246550.0,275300.0,270100.0,323375.0,278475.0,279725.0,256950.0,261250.0,267325.0,384775.0,245025.0,259875.0,287675.0,34725.0,18908400.0
360610092001,239616.0,238368.0,244448.0,242496.0,238336.0,239520.0,243936.0,242816.0,240512.0,242176.0,244576.0,238528.0,242336.0,246016.0,244288.0,245312.0,243648.0,238688.0,242976.0,238784.0,237440.0,243936.0,241856.0,238784.0,234880.0,113856.0,239616.0,248864.0,247072.0,246528.0,246752.0,247200.0,248352.0,252352.0,247424.0,245024.0,248480.0,251232.0,250880.0,247904.0,247328.0,244704.0,251584.0,250336.0,245888.0,248160.0,248032.0,250016.0,245952.0,247808.0,244928.0,243744.0,33440.0,277024.0,229472.0,218304.0,310592.0,267136.0,203040.0,243904.0,301792.0,293696.0,286048.0,280864.0,269024.0,217568.0,234848.0,297344.0,259712.0,279008.0,231360.0,220608.0,298784.0,282304.0,276224.0,257152.0,26272.0,18679808.0
360610099001,196185.0,197373.0,196713.0,199914.0,202719.0,200574.0,201663.0,201102.0,201993.0,201630.0,199749.0,202653.0,200409.0,196383.0,194766.0,202323.0,202587.0,203346.0,198033.0,201531.0,201696.0,197736.0,195657.0,192819.0,208692.0,104643.0,208032.0,206679.0,204798.0,203775.0,201465.0,206613.0,202026.0,201861.0,205920.0,210606.0,209319.0,203709.0,208692.0,202983.0,209715.0,205689.0,207240.0,206448.0,203544.0,205326.0,204072.0,205689.0,205755.0,209088.0,205227.0,205986.0,29073.0,182556.0,203247.0,212982.0,213147.0,213576.0,210078.0,181764.0,183381.0,180180.0,186384.0,199518.0,204765.0,221034.0,210309.0,225951.0,219153.0,223674.0,208461.0,235983.0,214203.0,202851.0,207075.0,187077.0,26730.0,15236298.0
360610113001,172608.0,167936.0,168256.0,174624.0,170048.0,168480.0,169120.0,167680.0,173120.0,169344.0,172640.0,171488.0,163136.0,166624.0,169728.0,171584.0,170368.0,170912.0,172448.0,174976.0,168864.0,170144.0,165792.0,168704.0,165216.0,79712.0,172960.0,168896.0,166528.0,168928.0,167648.0,163168.0,161344.0,158368.0,166016.0,163680.0,169952.0,167040.0,163200.0,168960.0,165760.0,165024.0,163232.0,168064.0,164096.0,172096.0,173600.0,166112.0,164864.0,164224.0,166816.0,168384.0,22400.0,214688.0,170272.0,198752.0,219520.0,185696.0,165184.0,211744.0,215840.0,227072.0,213824.0,223040.0,182848.0,142976.0,193696.0,226848.0,188896.0,192064.0,199840.0,163264.0,220032.0,226880.0,194624.0,174816.0,18496.0,13245824.0
360610143001,160134.0,159640.0,157352.0,160056.0,161980.0,158002.0,161070.0,154258.0,156104.0,158210.0,152828.0,159172.0,163202.0,163930.0,156546.0,161902.0,160212.0,159536.0,159432.0,156260.0,162214.0,160056.0,159848.0,156754.0,159640.0,76284.0,171054.0,172640.0,176020.0,175188.0,173862.0,176228.0,182780.0,181064.0,175396.0,175604.0,177632.0,172094.0,173290.0,171158.0,172666.0,180596.0,178828.0,176514.0,174382.0,172562.0,173004.0,174304.0,177242.0,173264.0,174486.0,175032.0,25142.0,161928.0,205660.0,196586.0,165282.0,182806.0,184002.0,168038.0,192842.0,189176.0,161408.0,164840.0,182806.0,193050.0,176202.0,190944.0,186602.0,160576.0,147602.0,217594.0,182754.0,181948.0,182858.0,160290.0,11674.0,12784122.0
360610102001,156953.0,154969.0,162347.0,156116.0,156209.0,156674.0,158007.0,157511.0,160673.0,158689.0,153109.0,149823.0,158782.0,157108.0,153760.0,155589.0,153357.0,154194.0,151435.0,160332.0,153729.0,155775.0,158751.0,154690.0,147901.0,71517.0,158069.0,161045.0,159805.0,158627.0,159743.0,158751.0,153574.0,159340.0,153171.0,155186.0,157170.0,155062.0,158503.0,157232.0,161138.0,162347.0,156829.0,156364.0,156395.0,154628.0,160642.0,160301.0,156581.0,159185.0,154535.0,154380.0,22785.0,166811.0,167369.0,117862.0,179955.0,172484.0,120652.0,107415.0,201996.0,182311.0,192851.0,159557.0,183985.0,140430.0,107942.0,196323.0,175615.0,181102.0,151032.0,132990.0,181660.0,173662.0,187209.0,165943.0,15345.0,11851889.0
360610094001,147120.0,148770.0,152580.0,144930.0,141090.0,143610.0,145890.0,143430.0,145800.0,149040.0,143490.0,145650.0,147630.0,148260.0,146070.0,146280.0,147600.0,146130.0,145770.0,148980.0,144720.0,152310.0,149280.0,142020.0,134760.0,63960.0,151230.0,151110.0,150720.0,152670.0,149220.0,147540.0,147810.0,150660.0,150900.0,149280.0,145080.0,145530.0,155550.0,152550.0,152190.0,150270.0,150090.0,147810.0,149940.0,148050.0,149190.0,149160.0,152760.0,149910.0,149250.0,150630.0,21270.0,175050.0,149730.0,103380.0,191010.0,160890.0,107130.0,115440.0,210690.0,209880.0,200970.0,185160.0,165390.0,117720.0,103620.0,207600.0,176700.0,185400.0,137370.0,112530.0,184770.0,195240.0,183390.0,152670.0,16620.0,11383890.0
360610058001,152790.0,152625.0,155100.0,150249.0,154572.0,149886.0,149424.0,153516.0,151107.0,150678.0,151932.0,148632.0,153417.0,152262.0,152493.0,150711.0,150942.0,149589.0,151239.0,151470.0,146718.0,150843.0,153549.0,148599.0,154011.0,78375.0,143319.0,143385.0,147213.0,147510.0,143418.0,142659.0,144342.0,141801.0,142065.0,144375.0,146157.0,143253.0,141504.0,141438.0,144870.0,145134.0,148104.0,143880.0,145398.0,144210.0,147279.0,139689.0,145365.0,146916.0,141405.0,147840.0,22143.0,146025.0,152196.0,136785.0,152922.0,142065.0,148104.0,133914.0,152757.0,148863.0,160314.0,148764.0,138138.0,127611.0,134475.0,154011.0,152262.0,144606.0,144639.0,142824.0,143682.0,145893.0,150678.0,147939.0,19899.0,11008767.0
