,count
360050001001,27
360050019001,800
360050019002,30
360050019003,32
360050019004,25
360050023001,93
360050023002,30
360050023003,62
360050024001,27
360050025001,30
360050025005,32
360050027022,31
360050027023,30
360050037001,30
360050039002,31
360050042002,31
360050042006,25
360050043002,62
360050044003,32
360050044004,31
360050051001,1218
360050051002,96
360050051003,93
360050059021,64
360050059022,64
360050060001,64
360050061002,93
360050061003,75
360050062003,31
360050063001,150
360050063002,1116
360050063003,217
360050063005,31
360050063006,248
360050065001,155
360050065002,155
360050065003,31
360050065004,124
360050067001,31
360050067006,31
360050070003,32
360050071002,32
360050072002,32
360050072003,31
360050075002,64
360050075004,30
360050077001,96
360050078001,32
360050083002,30
360050083005,30
360050085001,31
360050085004,31
360050087003,31
360050092003,32
360050093001,25
360050093004,32
360050093005,31
360050096001,96
360050096002,124
360050110001,25
360050115021,31
360050118003,32
360050119004,31
360050129012,31
360050131002,32
360050131003,32
360050135003,64
360050141002,186
360050141003,32
360050145003,31
360050145004,31
360050147024,31
360050149001,31
360050152002,32
360050153002,30
360050159001,31
360050160004,32
360050161002,31
360050165001,31
360050169001,64
360050173003,32
360050173004,31
360050175003,31
360050179012,30
360050179013,31
360050179023,31
360050181021,32
360050183011,124
360050183012,31
360050183013,32
360050183021,93
360050184003,32
360050184004,62
360050185001,62
360050185002,30
360050185004,31
360050189001,90
360050189002,31
360050189004,62
360050195002,186
360050195004,62
360050197001,31
360050197002,31
360050197003,62
360050197004,90
360050197005,30
360050199002,31
360050201001,31
360050202002,32
360050204003,32
360050205012,62
360050209002,31
360050209004,62
360050210011,32
360050210026,32
360050212001,31
360050216011,64
360050216022,32
360050216025,60
360050217001,31
360050217002,31
360050217003,31
360050218002,32
360050219001,31
360050221022,31
360050222004,32
360050224011,32
360050224012,31
360050224043,32
360050227011,31
360050227013,31
360050227021,31
360050231001,96
360050235011,62
360050235013,31
360050245021,31
360050245022,30
360050250001,33
360050251004,30
360050256002,32
360050257001,64
360050263001,62
360050265003,31
360050266025,32
360050267021,31
360050269002,32
360050274021,32
360050283001,93
360050285001,32
360050285004,32
360050287002,31
360050287003,31
360050289001,124
360050289003,32
360050293024,32
360050295001,32
360050295004,31
360050297001,32
